Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2018-05-02,NIFTY,2018-05-31,CE,8500.0,2239.7,2255.75,2194.95,2218.7,2216.3,2218.7,131,105443000.0,21931000.0,370725,1950,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8500.0,0.85,1.35,0.85,1.3,1.2,1.3,437,278626000.0,38000.0,199725,7575,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8550.0,0.0,0.0,0.0,1562.15,0.0,2212.45,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8550.0,0.0,0.0,0.0,1.4,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8600.0,2152.75,2153.0,2099.15,2120.75,2123.0,2120.75,130,104577000.0,20727000.0,681525,7800,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8600.0,1.25,1.4,1.25,1.35,1.4,1.35,192,123858999.99999999,19000.0,152025,-825,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8650.0,0.0,0.0,0.0,1650.5,0.0,2112.95,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8650.0,0.0,0.0,0.0,1.45,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8700.0,0.0,0.0,0.0,2040.0,2040.0,2063.25,0,0.0,0.0,29700,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8700.0,1.7,1.75,1.25,1.45,1.45,1.45,7,4568000.0,1000.0,16800,75,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8750.0,0.0,0.0,0.0,1648.75,0.0,2013.5,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8750.0,0.0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8800.0,1925.0,1928.3,1925.0,1928.3,1928.3,1928.3,3,2413000.0,433000.0,53850,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8800.0,1.8,1.85,1.25,1.8,1.8,1.8,4,2641000.0,1000.0,20250,75,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8850.0,0.0,0.0,0.0,1661.7,0.0,1914.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8850.0,0.0,0.0,0.0,1.25,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8900.0,0.0,0.0,0.0,1798.0,1798.0,1864.25,0,0.0,0.0,37875,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8900.0,0.0,0.0,0.0,1.5,1.5,0.0,0,0.0,0.0,24300,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,8950.0,0.0,0.0,0.0,1607.6,0.0,1814.55,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,8950.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0.0,0.0,1950,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9000.0,1756.0,1757.5,1705.0,1722.75,1721.6,1722.75,586,471875000.0,76325000.0,2040375,31275,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9000.0,1.75,2.25,1.75,1.8,1.75,1.8,2527,1706087000.0,362000.0,1658775,65250,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9050.0,0.0,0.0,0.0,1511.05,0.0,1715.05,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9050.0,0.0,0.0,0.0,4.4,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9100.0,1642.95,1651.7,1642.95,1651.7,1651.7,1651.7,6,4836000.0,741000.0,9375,150,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9100.0,2.8,3.1,2.45,2.65,2.7,2.65,698,476531000.00000006,146000.0,219450,-150,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9150.0,0.0,0.0,0.0,1415.2,0.0,1615.55,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9150.0,0.0,0.0,0.0,6.6,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9200.0,1749.7,1749.7,1534.3,1536.85,1536.85,1536.85,13,10488000.0,1518000.0,69225,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9200.0,3.15,3.6,3.1,3.25,3.15,3.25,649,447970000.0,160000.0,225375,1575,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9250.0,0.0,0.0,0.0,1320.2,0.0,1516.1,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9250.0,0.0,0.0,0.0,9.7,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9300.0,1442.0,1450.6,1423.55,1432.65,1432.65,1432.65,6,4833000.0,648000.0,60750,-225,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9300.0,3.7,4.35,3.6,3.75,3.7,3.75,2405,1678205000.0,717000.0,277575,2775,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9350.0,0.0,0.0,0.0,1226.4,0.0,1416.6,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,PE,9350.0,0.0,0.0,0.0,13.95,0.0,0.0,0,0.0,0.0,0,0,10718.05
2018-05-02,NIFTY,2018-05-31,CE,9400.0,1344.0,1360.85,1322.4,1338.6,1338.6,1338.6,12,9668000.0,1208000.0,114825,450,10718.05
