Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
2-January-1991,115.00,115.00,110.00,110.00,0.000000000000000000,0,0,0.00,,,5.00,-5.00
3-January-1991,107.50,112.50,102.50,106.25,0.000000000000000000,0,0,0.00,,,10.00,-1.25
7-January-1991,105.00,110.00,105.00,110.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
9-January-1991,105.00,110.00,105.00,110.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
11-January-1991,105.00,112.50,105.00,112.50,0.000000000000000000,0,0,0.00,,,7.50,7.50
14-January-1991,110.00,112.50,108.75,108.75,0.000000000000000000,0,0,0.00,,,3.75,-1.25
23-January-1991,105.00,110.00,105.00,108.75,0.000000000000000000,0,0,0.00,,,5.00,3.75
24-January-1991,100.00,106.25,100.00,106.25,0.000000000000000000,0,0,0.00,,,6.25,6.25
25-January-1991,100.00,105.00,100.00,105.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
31-January-1991,100.00,102.50,100.00,102.50,0.000000000000000000,0,0,0.00,,,2.50,2.50
1-February-1991,100.00,106.25,100.00,106.25,0.000000000000000000,0,0,0.00,,,6.25,6.25
4-February-1991,105.00,110.00,105.00,110.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
5-February-1991,107.50,112.50,107.50,112.50,0.000000000000000000,0,0,0.00,,,5.00,5.00
6-February-1991,107.50,112.50,107.50,110.00,0.000000000000000000,0,0,0.00,,,5.00,2.50
7-February-1991,102.50,106.25,102.50,105.00,0.000000000000000000,0,0,0.00,,,3.75,2.50
8-February-1991,102.50,106.25,102.50,106.25,0.000000000000000000,0,0,0.00,,,3.75,3.75
11-February-1991,104.00,106.00,104.00,106.00,0.000000000000000000,0,0,0.00,,,2.00,2.00
13-February-1991,102.50,105.00,102.50,105.00,0.000000000000000000,0,0,0.00,,,2.50,2.50
14-February-1991,102.50,106.25,102.50,106.25,0.000000000000000000,0,0,0.00,,,3.75,3.75
15-February-1991,102.50,105.00,102.50,105.00,0.000000000000000000,0,0,0.00,,,2.50,2.50
19-February-1991,110.00,115.00,110.00,113.00,0.000000000000000000,0,0,0.00,,,5.00,3.00
20-February-1991,112.50,127.50,112.50,125.00,0.000000000000000000,0,0,0.00,,,15.00,12.50
21-February-1991,132.50,132.50,127.50,128.75,0.000000000000000000,0,0,0.00,,,5.00,-3.75
22-February-1991,132.50,132.50,128.00,130.00,0.000000000000000000,0,0,0.00,,,4.50,-2.50
26-February-1991,130.00,133.75,127.50,130.00,0.000000000000000000,0,0,0.00,,,6.25,0.00
27-February-1991,128.75,131.25,126.25,130.00,0.000000000000000000,0,0,0.00,,,5.00,1.25
28-February-1991,127.50,131.25,127.50,130.00,0.000000000000000000,0,0,0.00,,,3.75,2.50
4-March-1991,125.00,137.50,125.00,135.50,0.000000000000000000,0,0,0.00,,,12.50,10.50
5-March-1991,135.00,137.50,135.00,137.50,0.000000000000000000,0,0,0.00,,,2.50,2.50
7-March-1991,120.00,125.00,120.00,125.00,0.000000000000000000,0,0,0.00,,,5.00,5.00
8-March-1991,123.75,132.50,123.75,132.50,0.000000000000000000,0,0,0.00,,,8.75,8.75
11-March-1991,127.50,130.00,127.50,130.00,0.000000000000000000,0,0,0.00,,,2.50,2.50
12-March-1991,126.25,130.00,126.25,130.00,0.000000000000000000,0,0,0.00,,,3.75,3.75
13-March-1991,128.00,131.25,128.00,130.00,0.000000000000000000,0,0,0.00,,,3.25,2.00
15-March-1991,135.00,137.50,133.75,135.00,0.000000000000000000,0,0,0.00,,,3.75,0.00
18-March-1991,132.50,135.00,130.00,132.50,0.000000000000000000,0,0,0.00,,,5.00,0.00
20-March-1991,130.00,133.50,130.00,133.50,0.000000000000000000,0,0,0.00,,,3.50,3.50
21-March-1991,131.25,134.00,131.25,133.00,0.000000000000000000,0,0,0.00,,,2.75,1.75
22-March-1991,138.75,138.75,133.75,135.00,0.000000000000000000,0,0,0.00,,,5.00,-3.75
25-March-1991,133.00,135.00,133.00,135.00,0.000000000000000000,0,0,0.00,,,2.00,2.00
26-March-1991,131.25,135.00,131.25,135.00,0.000000000000000000,0,0,0.00,,,3.75,3.75
27-March-1991,134.00,136.00,134.00,136.00,0.000000000000000000,0,0,0.00,,,2.00,2.00
1-April-1991,135.00,142.50,135.00,142.50,0.000000000000000000,0,0,0.00,,,7.50,7.50
2-April-1991,140.00,143.00,140.00,143.00,0.000000000000000000,0,0,0.00,,,3.00,3.00
3-April-1991,143.00,146.00,141.00,143.00,0.000000000000000000,0,0,0.00,,,5.00,0.00
4-April-1991,141.00,145.00,141.00,144.50,0.000000000000000000,0,0,0.00,,,4.00,3.50
5-April-1991,143.00,145.00,143.00,145.00,0.000000000000000000,0,0,0.00,,,2.00,2.00
8-April-1991,147.50,150.00,145.00,150.00,0.000000000000000000,0,0,0.00,,,5.00,2.50
9-April-1991,152.50,152.50,149.00,151.00,0.000000000000000000,0,0,0.00,,,3.50,-1.50
11-April-1991,150.00,157.50,150.00,157.50,0.000000000000000000,0,0,0.00,,,7.50,7.50
12-April-1991,159.00,164.00,157.00,162.00,0.000000000000000000,0,0,0.00,,,7.00,3.00
15-April-1991,167.50,167.50,162.00,163.00,0.000000000000000000,0,0,0.00,,,5.50,-4.50
16-April-1991,162.50,162.50,158.00,160.00,0.000000000000000000,0,0,0.00,,,4.50,-2.50
